ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC
93,CityMall Bacalso,DoubleDragon Properties,10.2980629,123.8944887,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CONSOLACION,Poblacion Oriental,PH072219014
94,CityMall Boracay,DoubleDragon Properties,11.9791117,121.9202841,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,CADIZ CITY,Barangay 2 Pob. (Zone 2),PH184504004
95,CityMall Bulua,DoubleDragon Properties,8.5118088,124.6224153,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Iponan,PH104305051
96,CityMall Cadiz,DoubleDragon Properties,10.9557801,123.3019983,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Singcang-Airport,PH184501055
97,CityMall Consolacion,DoubleDragon Properties,10.3748946,123.959325,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS ORIENTAL,DUMAGUETE CITY (Capital),Daro,PH184610013
98,CityMall Cotabato,DoubleDragon Properties,7.2011881,124.2410802,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),COTABATO CITY (Not a Province),COTABATO CITY,Rosary Heights VII,PH129804026
99,CityMall Dau,DoubleDragon Properties,15.1786699,120.5888893,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),PAMPANGA,MABALACAT CITY,Dau,PH035409008
100,CityMall Dumaguete,DoubleDragon Properties,9.323765,123.2985198,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Central (Pob.),PH072217022
101,CityMall Goldenfields,DoubleDragon Properties,10.6498971,122.9376983,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,CITY OF KABANKALAN,Barangay 1 (Pob.),PH184515021
102,CityMall Iponan,DoubleDragon Properties,8.5028466,124.6018289,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,ILIGAN CITY,Villa Verde,PH103504048
103,CityMall Isulan,DoubleDragon Properties,6.6374923,124.5995135,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Barangay 9 (Pob.),PH184501044
104,CityMall Kabankalan,DoubleDragon Properties,10.0011575,122.8102692,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),AKLAN,KALIBO (Capital),Poblacion,PH060407013
105,CityMall Kalibo,DoubleDragon Properties,11.7059136,122.3679492,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),Concepcion-Montes,PH063022038
106,CityMall Koronadal,DoubleDragon Properties,6.506197,124.836228,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,ISULAN (Capital),Kalawag III (Pob.),PH126504013
107,CityMall Mayombo Dagupan,,16.0382509,120.3473527,,Wikipedia,Google Maps,16/02/2020,REGION I (ILOCOS REGION),LA UNION,ARINGAY,San Benito Sur,PH013302015
108,CityMall Parola,DoubleDragon Properties,10.6921078,122.5832176,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),ILOILO,PAVIA,Ungka II,PH063036019
109,CityMall Pavia,DoubleDragon Properties,10.750816,122.5389608,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),CAPIZ,ROXAS CITY (Capital),Poblacion X (Barangay X),PH061914006
110,CityMall Roxas Avenue,DoubleDragon Properties,11.5769548,122.7526591,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,SAN CARLOS CITY,Barangay II (Pob.),PH184524011
