,ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC,loc
94,309,CityMall Bacalso,DoubleDragon Properties,10.2980629,123.89448870000001,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CONSOLACION,Poblacion Oriental,PH072219014,10.2980629123.89448870000001
95,499,CityMall Boracay,DoubleDragon Properties,11.9791117,121.9202841,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,CADIZ CITY,Barangay 2 Pob. (Zone 2),PH184504004,11.9791117121.9202841
96,451,CityMall Bulua,DoubleDragon Properties,8.5118088,124.6224153,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Iponan,PH104305051,8.5118088124.6224153
97,500,CityMall Cadiz,DoubleDragon Properties,10.955780099999998,123.3019983,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Singcang-Airport,PH184501055,10.955780099999998123.3019983
98,310,CityMall Consolacion,DoubleDragon Properties,10.3748946,123.959325,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS ORIENTAL,DUMAGUETE CITY (Capital),Daro,PH184610013,10.3748946123.959325
99,88,CityMall Cotabato,DoubleDragon Properties,7.2011880999999995,124.24108020000001,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),COTABATO CITY (Not a Province),COTABATO CITY,Rosary Heights VII,PH129804026,7.2011880999999995124.24108020000001
100,248,CityMall Dau,DoubleDragon Properties,15.1786699,120.58888929999999,,Wikipedia,Google Maps,16/02/2020,REGION III (CENTRAL LUZON),PAMPANGA,MABALACAT CITY,Dau,PH035409008,15.1786699120.58888929999999
101,311,CityMall Dumaguete,DoubleDragon Properties,9.323765,123.29851979999998,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Central (Pob.),PH072217022,9.323765123.29851979999998
102,501,CityMall Goldenfields,DoubleDragon Properties,10.649897099999999,122.9376983,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,CITY OF KABANKALAN,Barangay 1 (Pob.),PH184515021,10.649897099999999122.9376983
103,452,CityMall Iponan,DoubleDragon Properties,8.5028466,124.60182890000002,,Wikipedia,Google Maps,16/02/2020,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,ILIGAN CITY,Villa Verde,PH103504048,8.5028466124.60182890000002
104,493,CityMall Isulan,DoubleDragon Properties,6.6374923,124.5995135,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Barangay 9 (Pob.),PH184501044,6.6374923124.5995135
105,502,CityMall Kabankalan,DoubleDragon Properties,10.0011575,122.81026920000001,,Wikipedia,Google Maps,16/02/2020,REGION VI (WESTERN VISAYAS),AKLAN,KALIBO (Capital),Poblacion,PH060407013,10.0011575122.81026920000001
